username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
DuyanYoga|2018-07-05 07:20|0|0|"i’m more of a novel/long form prose kinda gal but let’s see what diamonds hide underneath the textbook algorismus **leans back into chair with true potato flourish **puts feet up desk # richardfreeman # marytaylor # yogavinyasa # yogareads # theartofvinyasa # ashtangayoga # h…pic.twitter.com/3nKDF5Q1HJ"|||# # # # # # #|"1014740878433439744"|https://twitter.com/DuyanYoga/status/1014740878433439744
bluemel_lauren|2018-07-05 01:02|0|0|"I want Mary Taylor to have her own show her and Roy come on Corrie Make this happen @ itvcorrie x"||@||"1014645603664650246"|https://twitter.com/bluemel_lauren/status/1014645603664650246
MaryStella_Keys|2018-07-05 00:47|0|0|"@ SuzBrockmann Thanks for bringing back Team 10 for a great read in Seal Camp. Loved Ashley and Spaceman’s Romance. Fun seeing “my” namesake Colleen Mary Taylor and my fav Bobby. Looking forward to more new books!"||@||"1014641822684057601"|https://twitter.com/MaryStella_Keys/status/1014641822684057601
maysamoncao|2018-07-05 00:39|1|0|"pic.twitter.com/zibJK2zFCF"||||"1014639885540610048"|https://twitter.com/maysamoncao/status/1014639885540610048
cumiskey55|2018-07-05 00:04|0|0|"A lot more of the wonderful Mary Taylor Cole and her perfect comic timing and a lot less of Michelle. Time she had a much needed rest from all the trauma she’s had of late. # Corrie"|||#|"1014631093558013953"|https://twitter.com/cumiskey55/status/1014631093558013953
hughesjg|2018-07-04 23:17|1|1|"Dear @ itvcorrie, Please engage the services of @ APattiClare to record an audio book of 'Mary Taylor: The Autobiography'. Her tall tales are a joy to hear! Thank you."||@ @||"1014619158250774529"|https://twitter.com/hughesjg/status/1014619158250774529
soapscoop|2018-07-04 22:38|10|37|"Coronation Street's Mary Taylor proves why she's the best character once again http://digitalspy.com/soaps/coronation-street/news/a860952/coronation-street-corrie-mary-taylor-steals-show-best-character/ …"||||"1014609301904773121"|https://twitter.com/soapscoop/status/1014609301904773121
digitalspybrk|2018-07-04 22:38|0|0|"Coronation Street's Mary Taylor proves why she's the best character once again http://digitalspy.com/soaps/coronation-street/news/a860952/coronation-street-corrie-mary-taylor-steals-show-best-character/ …"||||"1014609299782463489"|https://twitter.com/digitalspybrk/status/1014609299782463489
pegmulqueen|2018-07-04 05:12|0|3|"Next week, Meghan and I will be in Boulder, CO to interview this inspiring woman - Mary Taylor - for the Ashtanga Dispatch Podcast. . . . Mary has been on my bucket list of people to talk… https://www.instagram.com/p/Bky1FORgEgc/?utm_source=ig_twitter_share&igshid=pzuu0x5smf4 …"||||"1014346158733451266"|https://twitter.com/pegmulqueen/status/1014346158733451266
dephotocinema|2018-07-03 22:38|0|0|"I added a video to a @ YouTube playlist http://youtu.be/oxdkW5qVof0?a  Mary & Taylor's Salt River Engagement 4K UHD"||@||"1014246923941941248"|https://twitter.com/dephotocinema/status/1014246923941941248
cammisummer|2018-07-03 04:58|0|0|""Take chances, make mistakes. That's how you grow. Pain nourishes your courage. You have to fail to practice being brave." -Mary Taylor Moore # quotes https://www.instagram.com/p/BkwOl7hlKii/?utm_source=ig_twitter_share&igshid=ox3b258sk614 …"|||#|"1013980188928102400"|https://twitter.com/cammisummer/status/1013980188928102400
waylonlewis|2018-07-02 23:52|0|0|"See my videos with # richardfreeman and # marytaylor on http://elephantjournal.com  https://www.instagram.com/p/BkvroC7hd5f/?utm_source=ig_twitter_share&igshid=1jqm60l3qibpo …"|||# #|"1013903156416262144"|https://twitter.com/waylonlewis/status/1013903156416262144
tonofash29|2018-07-02 23:39|0|0|"My forever dinner date...my baby Violette Mary Taylor...I love her to the moon and back! @Red Robin Gourmet Burgers https://www.instagram.com/p/BkvqNwNHVPMsWzZJzSbqTh4aUfC73XjWXEUkuI0/?utm_source=ig_twitter_share&igshid=1hqc1ufdk8xwd …"||@Red||"1013900056125165570"|https://twitter.com/tonofash29/status/1013900056125165570
jenniferlciulla|2018-07-02 17:23|0|2|"Starting off July with another closing! It’s never a dull moment with this girl right here! Thank you Mary Taylor with Charter Title Sugarland for always going above and beyond! # thejlcgroup # remaxfineproperties https://lnkd.in/eT2yhjG"|||# #|"1013805444459122688"|https://twitter.com/jenniferlciulla/status/1013805444459122688
76jennifers|2018-07-02 17:15|0|0|"Starting off July with another closing ! It’s never a dull moment with this girl right here. Thanks again Mary Taylor at Charter Title Sugarland for going above and beyond! # thejlcgrouo… https://www.instagram.com/p/Bku9cFlnJ_3/?utm_source=ig_twitter_share&igshid=3dixor1f248p …"|||#|"1013803357931261952"|https://twitter.com/76jennifers/status/1013803357931261952
TLMidgyett|2018-07-02 05:07|0|0|"That would be Wesley! Mary Taylor Tabby Anderson https://www.facebook.com/story.php?story_fbid=10156438747965699&id=503650698 …"||||"1013620240335474690"|https://twitter.com/TLMidgyett/status/1013620240335474690
OH_Prays|2018-07-01 21:12|0|0|"http://www.pray1tim2.org/s/oh  Please pray for: President @ POTUS Vice President @ vp Spkr. @ SpeakerRyan Gov. of Ohio @ JohnKasich Lt. Gov. of Ohio Mary Taylor AG of Ohio Mike DeVine"||@ @ @ @||"1013500607574003714"|https://twitter.com/OH_Prays/status/1013500607574003714
